#objID z mass rpetro ra dec res mrs sens_10kms year muid proj name K03 K01 WISE LERG
587731511545233578 0.026797 10.4409 7.56408 48.89644156 -1.01627288 1.7450853432403626 21.08892285299452 0.40979387200234374 2018 uid://A001/X133d/Xe97 2018.1.00541.S 587731511545233578_8082-12701 1 0 0 0
587731511545626673 0.053812 10.0347 2.8611 49.82143689 -0.96964645 1.6159977228975666 18.563400469848563 0.7996984145734759 2018 uid://A001/X133d/Xe73 2018.1.00541.S 587731511545626673_8081-3704 0 0 0 0
587731512071028909 0.080051 10.7975 3.89702 23.70759089 -0.61088945 1.2007567377974935 10.677403807905764 0.7005861955460759 2012 uid://A002/X5d7935/X2dc 2012.1.00539.S Q01322-0051 0 0 0 0
587731512081580233 0.028085 10.4642 5.55572 47.7721595 -0.54650521 2.347371331610365 21.481130127925795 0.8070503889668508 2017 uid://A001/X1288/Xed1 2017.1.01093.S 8081-9101 0 0 0 0
587731512082301077 0.021132 9.93911 3.90639 49.45745385 -0.55465101 2.697854686098192 25.33657017985439 1.922694102450738 2019 uid://A001/X1465/X18ab 2019.1.01136.S 8080-3704 1 0 0 0
587731512083087420 0.036815 10.6768 4.45073 51.15551055 -0.44403283 2.49101138006421 23.482042327355163 1.1776438085213619 2019 uid://A001/X1465/X3505 2019.1.00260.S WP_8085_3704 0 0 0 0
587731512085708963 0.039814 10.8845 4.72397 57.24298571 -0.52109991 2.257849131402651 27.242073125898337 0.8126751000810171 2017 uid://A001/X1288/Xee9 2017.1.01093.S 8086-9101 0 0 0 0
587731512617664623 0.027583 10.3171 7.13744 45.96024771 -0.20444277 2.786433361074446 26.164548542660615 0.9293558709592852 2021 uid://A001/X1590/X344b 2021.1.00094.S 587731512617664623_8154-9102 1 1 0 0
587731512619434064 0.03695 10.9101 4.74761 49.94013207 -0.07720499 2.713849642801467 24.979281359942426 0.7655020970231374 2017 uid://A001/X1288/Xec9 2017.1.01093.S 8081-6102 1 1 0 0
587731512619630623 0.02535 10.3251 6.4624 50.39146198 -0.17839962 2.617138857733242 24.064622472917417 0.888622591005482 2017 uid://A001/X1288/Xec5 2017.1.01093.S 8081-12703 1 0 0 0
587731512619696292 0.021785 10.2559 4.36287 50.63658867 -0.00119968 2.1919269297567787 26.86660832499989 0.4232333855908615 2018 uid://A001/X133d/Xe9f 2018.1.00541.S 587731512619696292_8084-3702 0 0 0 0
587731513153159199 0.044239 10.0525 3.01297 42.73942039 0.36939825 2.588173305439986 25.757129996438934 0.409331435298235 2019 uid://A001/X1465/X3511 2019.1.00260.S CP_8078_6104 1 0 0 0
587731513694355564 0.030601 10.2378 6.0651 52.62136726 0.75206357 2.213150445108856 23.015340598769573 0.5733060368754219 2018 uid://A001/X133d/Xe7b 2018.1.00541.S 587731513694355564_8155-6102 0 0 0 0
587732053236384121 0.026638 10.8478 7.10436 119.31438242 27.49601721 2.8576502403008757 27.004006706225464 0.6457203669598343 2019 uid://A001/X1465/X2a75 2019.1.00597.S 8149-12704 1 1 0 0
587732156852797555 0.028092 10.3272 4.1606 120.05959649 26.6980009 2.931847313281611 27.988825695423188 0.7210756696569443 2019 uid://A001/X1465/X18d7 2019.1.01136.S 8941-3701 0 0 0 0
587732770522792028 0.046245 11.004 4.87775 192.14176123 9.12978719 2.6085585773810407 24.401825495990515 1.3471453309011814 2021 uid://A001/X15a2/X761 2021.1.01089.S 445641 1 1 0 0
587732771598499954 0.048647 10.7287 4.31563 196.60341573 9.94328659 2.6717001278233035 25.153151677561716 1.5660503310269218 2021 uid://A001/X15a2/X767 2021.1.01089.S 605137 0 0 0 0
587734621630431417 0.02999 10.5515 3.78687 128.13732177 29.93810981 1.184984426114058 16.874345592924314 1.1636468301103686 2022 uid://A001/X2f52/X2cf 2022.1.00482.S 27516 1 0 0 0
587734862146830473 0.049107 10.6394 2.73693 155.00085726 8.22605056 1.6172558116364075 14.26794667430648 0.5806694248260323 2016 uid://A001/X87a/X27a 2016.1.00177.S IRAS_F10173+0828 0 0 0 0
587734892219596881 0.049174 10.8242 3.84179 187.71899089 9.4001735 2.84995611723644 26.494627551497747 1.7389675801670246 2021 uid://A001/X15a2/X75e 2021.1.01089.S 530542 1 0 0 0
587734892755353685 0.019702 10.5203 5.0616 185.13896918 9.85340423 1.2264691140271595 12.22984084660582 2.2724762091574675 2013 uid://A001/X144/X1c8 2013.1.00115.S 5511 0 0 0 0
587735043075211514 0.035737 9.81652 4.01541 128.80270947 28.62208902 1.1703332845371273 16.446022800602023 1.083721728226508 2022 uid://A001/X2f52/X2cf 2022.1.00482.S 27289 0 0 0 0
587735236883513572 0.038334 9.3347 3.97284 124.54792697 26.65392774 1.157912807195212 16.097558270646637 1.072824866160866 2022 uid://A001/X2f52/X2cf 2022.1.00482.S 27657 0 0 0 0
587735348562624651 0.046138 11.0302 5.96178 155.41192846 13.31266586 2.9431904325276377 28.883004509523317 1.7605948433176426 2021 uid://A001/X15a2/X72b 2021.1.01089.S 658645 1 1 0 0
587735348575535135 0.042381 11.0073 3.8453 185.84933237 15.17188451 2.9475290126018026 27.271804383667476 1.7389626462839483 2021 uid://A001/X15a2/X75e 2021.1.01089.S 640777 1 0 0 0
587735349650391137 0.046185 11.054 8.71403 188.5429447 15.96821697 2.9623815530455913 27.39676030229202 1.738967791419802 2021 uid://A001/X15a2/X75e 2021.1.01089.S 373633 1 1 0 0
